point_id,point_type,lot,lan,night,tw_start,tw_end
KYIV_D07_0001,ATM,30.524296,50.452388,ні,,
KYIV_D07_0002,TT,30.209376,50.56391,так,18:00:00,23:59:59
KYIV_D07_0003,TT,30.623295,50.469909,ні,,
KYIV_D07_0004,TC,30.525482,50.453473,ні,,
KYIV_D07_0005,TOBO,30.628333,50.410122,так,18:00:00,23:59:59
KYIV_D07_0006,TC,30.788199,50.501151,ні,,
KYIV_D07_0007,TOBO,30.537655,50.437828,ні,,
KYIV_D07_0008,ATM,30.527254,50.452266,так,18:00:00,23:59:59
KYIV_D07_0009,ATM,30.623723,50.537841,ні,,
KYIV_D07_0010,TT,30.844072,50.51477,ні,,
KYIV_D07_0011,ATM,30.478677,50.528098,ні,,
KYIV_D07_0012,TOBO,30.262012,50.416426,так,18:00:00,23:59:59
KYIV_D07_0013,ATM,30.615683,50.396621,ні,,
KYIV_D07_0014,TT,30.606688,50.488726,ні,,
KYIV_D07_0015,TT,30.864205,50.379554,ні,,
KYIV_D07_0016,ATM,30.439268,50.518045,ні,,
KYIV_D07_0017,TT,30.568172,50.424568,так,18:00:00,23:59:59
KYIV_D07_0018,ATM,30.914068,50.482887,ні,,
KYIV_D07_0019,TT,30.556855,50.606498,ні,11:30:00,17:30:00
KYIV_D07_0020,TC,30.213171,50.568652,так,18:00:00,23:59:59
KYIV_D07_0021,ATM,30.582835,50.522588,ні,,
KYIV_D07_0022,TC,30.48129,50.448788,ні,,
KYIV_D07_0023,TT,30.618347,50.395112,ні,13:30:00,16:00:00
KYIV_D07_0024,TT,30.510855,50.451934,ні,,
KYIV_D07_0025,TOBO,30.475877,50.431164,так,18:00:00,23:59:59
KYIV_D07_0026,TC,30.806203,50.510438,так,18:00:00,23:59:59
KYIV_D07_0027,TT,30.350202,50.474442,ні,14:00:00,16:00:00
KYIV_D07_0028,TC,30.435449,50.515133,так,18:00:00,23:59:59
KYIV_D07_0029,TOBO,30.60514,50.392421,ні,,
KYIV_D07_0030,TC,30.449856,50.520875,ні,,
KYIV_D07_0031,ATM,30.530638,50.420851,ні,,
KYIV_D07_0032,ATM,30.796888,50.506247,ні,,
KYIV_D07_0033,TT,30.943365,50.368523,ні,13:00:00,18:00:00
KYIV_D07_0034,TT,30.180352,50.348132,ні,,
KYIV_D07_0035,TOBO,30.50468,50.468939,ні,,
KYIV_D07_0036,ATM,30.580995,50.476686,ні,,
KYIV_D07_0037,TC,30.355742,50.494006,ні,,
KYIV_D07_0038,TT,30.552371,50.421936,ні,,
KYIV_D07_0039,TT,30.617476,50.437243,ні,,
KYIV_D07_0040,TT,30.493286,50.412431,ні,13:00:00,18:00:00
KYIV_D07_0041,TC,30.454756,50.602516,ні,,
KYIV_D07_0042,TT,30.378999,50.458749,ні,,
KYIV_D07_0043,TC,30.848375,50.321579,ні,,
KYIV_D07_0044,TT,30.247874,50.505837,ні,,
KYIV_D07_0045,TC,30.614915,50.395491,так,18:00:00,23:59:59
KYIV_D07_0046,TC,30.637809,50.439007,ні,,
KYIV_D07_0047,TT,30.255141,50.564778,ні,16:00:00,19:00:00
KYIV_D07_0048,ATM,30.523522,50.454781,ні,,
KYIV_D07_0049,TT,30.588776,50.460966,ні,,
KYIV_D07_0050,TC,30.635755,50.440066,ні,,
KYIV_D07_0051,TT,30.752062,50.518658,так,18:00:00,23:59:59
KYIV_D07_0052,TT,30.561105,50.478482,ні,09:00:00,15:00:00
KYIV_D07_0053,TT,30.841464,50.516223,ні,,
KYIV_D07_0054,TOBO,30.576049,50.475632,ні,,
KYIV_D07_0055,TT,30.588863,50.514573,ні,,
KYIV_D07_0056,TOBO,30.37494,50.488873,ні,,
KYIV_D07_0057,TT,30.494302,50.548274,ні,,
KYIV_D07_0058,TT,30.663079,50.42944,ні,,
KYIV_D07_0059,ATM,30.228202,50.4856,ні,,
KYIV_D07_0060,TT,30.604127,50.422151,ні,,
KYIV_D07_0061,ATM,30.528996,50.400133,ні,,
KYIV_D07_0062,TT,30.536092,50.637275,ні,13:00:00,19:00:00
KYIV_D07_0063,TC,30.477139,50.421594,так,18:00:00,23:59:59
KYIV_D07_0064,TT,30.925189,50.341112,ні,15:00:00,18:00:00
KYIV_D07_0065,ATM,30.505202,50.413118,так,18:00:00,23:59:59
KYIV_D07_0066,TC,30.621538,50.391934,так,18:00:00,23:59:59
KYIV_D07_0067,TOBO,30.343546,50.431,так,18:00:00,23:59:59
KYIV_D07_0068,TC,30.830146,50.586533,так,18:00:00,23:59:59
KYIV_D07_0069,TT,30.522525,50.426008,так,18:00:00,23:59:59
KYIV_D07_0070,ATM,30.489297,50.507415,ні,,
KYIV_D07_0071,TC,30.755152,50.507062,так,18:00:00,23:59:59
KYIV_D07_0072,TT,30.59046,50.515481,ні,,
KYIV_D07_0073,TOBO,30.541627,50.435607,так,18:00:00,23:59:59
KYIV_D07_0074,TOBO,30.52367,50.403629,ні,,
KYIV_D07_0075,TT,30.267927,50.391218,ні,10:00:00,20:00:00
KYIV_D07_0076,TOBO,30.410072,50.46783,ні,,
KYIV_D07_0077,TT,30.51689,50.528811,ні,,
KYIV_D07_0078,TT,30.622422,50.539029,ні,,
KYIV_D07_0079,TT,30.481597,50.507144,ні,,
KYIV_D07_0080,ATM,30.185794,50.526905,ні,,
KYIV_D07_0081,ATM,30.572519,50.404538,ні,,
KYIV_D07_0082,TT,30.773577,50.513183,ні,,
KYIV_D07_0083,TT,30.802022,50.469311,ні,,
KYIV_D07_0084,ATM,30.947356,50.33676,ні,,
KYIV_D07_0085,TT,30.487313,50.419083,ні,,
KYIV_D07_0086,TT,30.531412,50.433937,ні,,
KYIV_D07_0087,TOBO,30.588898,50.374905,ні,,
KYIV_D07_0088,TT,30.29798,50.613888,ні,,
KYIV_D07_0089,TOBO,30.630689,50.471776,так,18:00:00,23:59:59
KYIV_D07_0090,TT,30.8037,50.50609,ні,13:00:00,19:00:00
KYIV_D07_0091,ATM,30.188185,50.554824,так,18:00:00,23:59:59
KYIV_D07_0092,TC,30.244732,50.296787,ні,,
KYIV_D07_0093,TT,30.434543,50.637816,ні,09:00:00,16:00:00
KYIV_D07_0094,ATM,30.476347,50.488274,ні,,
KYIV_D07_0095,TT,30.494105,50.513922,ні,,
KYIV_D07_0096,TT,30.322151,50.492323,ні,14:00:00,18:00:00
KYIV_D07_0097,TT,30.209316,50.540542,ні,,
