point_id,point_type,lot,lan,night,tw_start,tw_end
VARASH_D05_0001,TT,26.135234,51.419704,ні,,
VARASH_D05_0002,ATM,25.799666,51.465301,ні,,
VARASH_D05_0003,TT,25.841358,51.299382,ні,,
VARASH_D05_0004,ATM,25.552308,51.281261,ні,,
VARASH_D05_0005,ATM,26.118422,51.418131,ні,,
VARASH_D05_0006,TOBO,25.796059,51.462242,ні,,
VARASH_D05_0007,TT,25.556911,51.27861,ні,,
VARASH_D05_0008,TC,25.859112,51.341068,ні,,
VARASH_D05_0009,TT,25.87491,51.320069,ні,,
VARASH_D05_0010,TC,25.847181,51.333173,ні,,
VARASH_D05_0011,TT,25.863115,51.130973,ні,,
VARASH_D05_0012,ATM,25.546622,51.292284,ні,,
VARASH_D05_0013,TOBO,26.137213,51.415396,ні,,
VARASH_D05_0014,TT,25.863898,51.356599,ні,,
VARASH_D05_0015,TC,25.824304,51.329436,ні,,
VARASH_D05_0016,TC,25.584147,51.297049,ні,,
VARASH_D05_0017,ATM,25.856607,51.126522,ні,,
VARASH_D05_0018,ATM,25.545034,51.289307,ні,,
VARASH_D05_0019,ATM,25.862973,51.128615,ні,,
VARASH_D05_0020,TC,25.864663,51.296532,ні,,
VARASH_D05_0021,ATM,25.811056,51.341622,ні,,
VARASH_D05_0022,TC,25.855953,51.291631,ні,,
VARASH_D05_0023,TC,25.854076,51.337383,ні,,
VARASH_D05_0024,TC,26.143647,51.419016,ні,,
VARASH_D05_0025,TC,25.849134,51.348749,ні,,
VARASH_D05_0026,TT,25.891987,51.111427,ні,,
VARASH_D05_0027,TC,25.850441,51.34707,ні,,
VARASH_D05_0028,ATM,25.880297,51.315301,ні,,
VARASH_D05_0029,TT,25.857564,51.350356,ні,,
VARASH_D05_0030,ATM,25.846075,51.358721,ні,,
VARASH_D05_0031,TT,25.59693,51.400445,ні,15:30:00,18:30:00
VARASH_D05_0032,TOBO,25.920833,51.272502,ні,,
VARASH_D05_0033,TC,25.888251,51.328374,ні,,
VARASH_D05_0034,TC,25.937126,51.309332,ні,,
VARASH_D05_0035,TC,25.924209,51.291368,ні,,
VARASH_D05_0036,TOBO,26.04711,51.488088,ні,,
VARASH_D05_0037,TC,25.865454,51.351637,ні,,
VARASH_D05_0038,TT,25.554159,51.288845,ні,,
VARASH_D05_0039,TC,25.802154,51.467619,ні,,
VARASH_D05_0040,TT,25.805814,51.151946,ні,09:00:00,15:00:00
VARASH_D05_0041,TT,25.849417,51.356243,ні,,
VARASH_D05_0042,TT,25.85158,51.333753,ні,,
