point_id,point_type,lot,lan,night,tw_start,tw_end
DUBNO_D19_0001,TT,25.716975,50.427191,ні,,
DUBNO_D19_0002,TT,25.718476,50.411816,ні,09:00:00,11:00:00
DUBNO_D19_0003,TT,25.709699,50.381185,ні,13:00:00,16:30:00
DUBNO_D19_0004,ATM,25.737505,50.417136,ні,,
DUBNO_D19_0005,TT,25.780232,50.443179,ні,12:00:00,19:00:00
DUBNO_D19_0006,TT,25.735716,50.395223,ні,13:00:00,19:00:00
DUBNO_D19_0007,TOBO,25.661453,50.446596,ні,,
DUBNO_D19_0008,TT,25.713672,50.374239,ні,,
DUBNO_D19_0009,ATM,25.744287,50.416535,ні,,
DUBNO_D19_0010,TT,25.737623,50.393123,ні,10:00:00,19:00:00
DUBNO_D19_0011,ATM,25.737727,50.383185,ні,,
DUBNO_D19_0012,ATM,25.720827,50.413164,ні,,
DUBNO_D19_0013,TC,25.762105,50.400852,ні,,
DUBNO_D19_0014,TT,25.762246,50.407887,ні,,
DUBNO_D19_0015,TOBO,25.734566,50.397205,ні,,
DUBNO_D19_0016,TOBO,25.718502,50.412481,ні,,
DUBNO_D19_0017,ATM,25.749912,50.390473,ні,,
DUBNO_D19_0018,TC,25.736639,50.393289,ні,,
DUBNO_D19_0019,TC,25.757429,50.365623,ні,,
DUBNO_D19_0020,ATM,25.799303,50.421039,ні,,
DUBNO_D19_0021,TC,25.76151,50.363155,ні,,
DUBNO_D19_0022,TT,25.756814,50.405333,ні,,
DUBNO_D19_0023,TT,25.768933,50.399147,ні,,
DUBNO_D19_0024,ATM,25.802594,50.424453,ні,,
DUBNO_D19_0025,ATM,25.666491,50.364488,ні,,
DUBNO_D19_0026,TC,25.703762,50.413515,ні,,
DUBNO_D19_0027,ATM,25.761781,50.388597,ні,,
DUBNO_D19_0028,TC,25.723749,50.429527,ні,,
DUBNO_D19_0029,TOBO,25.79958,50.369604,ні,,
DUBNO_D19_0030,ATM,25.730855,50.387232,ні,,
DUBNO_D19_0031,TT,25.741761,50.428212,ні,09:00:00,17:00:00
DUBNO_D19_0032,TOBO,25.717558,50.411677,ні,,
DUBNO_D19_0033,TT,25.770401,50.457638,ні,,
