point_id,point_type,lot,lan,night,tw_start,tw_end
TERNOPIL_D18_0001,ATM,25.544318,49.491042,ні,,
TERNOPIL_D18_0002,TT,25.617094,49.493789,ні,,
TERNOPIL_D18_0003,TC,25.573062,49.587631,ні,,
TERNOPIL_D18_0004,TOBO,25.594913,49.540638,ні,,
TERNOPIL_D18_0005,ATM,25.624683,49.579438,так,18:00:00,23:59:59
TERNOPIL_D18_0006,TT,25.53709,49.558377,ні,13:00:00,16:30:00
TERNOPIL_D18_0007,TT,25.617489,49.545516,ні,,
TERNOPIL_D18_0008,TT,25.560628,49.538412,ні,,
TERNOPIL_D18_0009,ATM,25.593367,49.593945,ні,,
TERNOPIL_D18_0010,TT,25.591212,49.550723,ні,,
TERNOPIL_D18_0011,TT,25.607902,49.52164,ні,,
TERNOPIL_D18_0012,ATM,25.717454,49.527765,так,18:00:00,23:59:59
TERNOPIL_D18_0013,ATM,25.707229,49.53429,так,18:00:00,23:59:59
TERNOPIL_D18_0014,TT,25.692678,49.560195,ні,,
TERNOPIL_D18_0015,TOBO,25.668974,49.564894,ні,,
TERNOPIL_D18_0016,ATM,25.519057,49.539217,ні,,
TERNOPIL_D18_0017,ATM,25.593235,49.495567,ні,,
TERNOPIL_D18_0018,TOBO,25.644555,49.518133,ні,,
TERNOPIL_D18_0019,TT,25.546349,49.541648,ні,,
TERNOPIL_D18_0020,TT,25.57579,49.491945,ні,,
TERNOPIL_D18_0021,TOBO,25.54573,49.583169,ні,,
TERNOPIL_D18_0022,TT,25.509746,49.562976,ні,,
TERNOPIL_D18_0023,TT,25.638074,49.523341,ні,,
TERNOPIL_D18_0024,ATM,25.604723,49.54691,ні,,
TERNOPIL_D18_0025,TT,25.557092,49.559299,ні,,
TERNOPIL_D18_0026,TT,25.512324,49.547964,ні,,
TERNOPIL_D18_0027,TC,25.71067,49.536463,ні,,
TERNOPIL_D18_0028,TT,25.676478,49.516732,так,18:00:00,23:59:59
TERNOPIL_D18_0029,ATM,25.589444,49.559587,так,18:00:00,23:59:59
TERNOPIL_D18_0030,ATM,25.650797,49.521085,ні,,
TERNOPIL_D18_0031,TT,25.60566,49.549444,ні,10:00:00,12:00:00
TERNOPIL_D18_0032,TT,25.575802,49.583836,ні,,
TERNOPIL_D18_0033,TC,25.710749,49.538344,ні,,
TERNOPIL_D18_0034,TT,25.674367,49.514724,ні,15:00:00,17:00:00
TERNOPIL_D18_0035,ATM,25.716879,49.529719,ні,,
TERNOPIL_D18_0036,TT,25.669168,49.565887,ні,,
TERNOPIL_D18_0037,ATM,25.670341,49.561,так,18:00:00,23:59:59
TERNOPIL_D18_0038,TT,25.549146,49.563553,ні,13:00:00,17:00:00
TERNOPIL_D18_0039,ATM,25.597863,49.581788,ні,,
TERNOPIL_D18_0040,ATM,25.608457,49.529682,ні,,
TERNOPIL_D18_0041,ATM,25.58332,49.550545,ні,,
TERNOPIL_D18_0042,ATM,25.669965,49.561771,ні,,
TERNOPIL_D18_0043,TT,25.592853,49.555361,так,18:00:00,23:59:59
TERNOPIL_D18_0044,TT,25.675836,49.567604,ні,,
TERNOPIL_D18_0045,ATM,25.683277,49.611588,так,18:00:00,23:59:59
TERNOPIL_D18_0046,TOBO,25.609583,49.554178,ні,,
TERNOPIL_D18_0047,TT,25.671594,49.609715,ні,,
TERNOPIL_D18_0048,ATM,25.601263,49.493083,ні,,
TERNOPIL_D18_0049,ATM,25.583921,49.527229,ні,,
TERNOPIL_D18_0050,TC,25.67409,49.516799,ні,,
TERNOPIL_D18_0051,TOBO,25.604046,49.537548,ні,,
